Gmt time,Open,High,Low,Close,Volume
28.12.2020 00:00:00.000,1.28401,1.28401,1.28360,1.28360,140.26
28.12.2020 00:01:00.000,1.28362,1.28370,1.28345,1.28364,112.5
28.12.2020 00:02:00.000,1.28363,1.28390,1.28363,1.28389,87.5
28.12.2020 00:03:00.000,1.28389,1.28429,1.28388,1.28412,155.75
28.12.2020 00:04:00.000,1.28413,1.28429,1.28396,1.28425,141
28.12.2020 00:05:00.000,1.28424,1.28454,1.28424,1.28452,96.1
28.12.2020 00:06:00.000,1.28452,1.28517,1.28452,1.28504,169.91
28.12.2020 00:07:00.000,1.28503,1.28533,1.28493,1.28531,129.62
28.12.2020 00:08:00.000,1.28531,1.28543,1.28522,1.28541,85.84
28.12.2020 00:09:00.000,1.28541,1.28541,1.28518,1.28529,59.18
28.12.2020 00:10:00.000,1.28525,1.28554,1.28525,1.28547,61.62
28.12.2020 00:11:00.000,1.28546,1.28547,1.28534,1.28541,34.63
28.12.2020 00:12:00.000,1.28543,1.28549,1.28533,1.28549,51.4
28.12.2020 00:13:00.000,1.28555,1.28567,1.28553,1.28555,100.83
28.12.2020 00:14:00.000,1.28556,1.28559,1.28534,1.28549,47.32
28.12.2020 00:15:00.000,1.28552,1.28595,1.28551,1.28595,169.74
28.12.2020 00:16:00.000,1.28597,1.28602,1.28564,1.28564,58.57
28.12.2020 00:17:00.000,1.28559,1.28570,1.28545,1.28545,48.35
28.12.2020 00:18:00.000,1.28545,1.28552,1.28542,1.28543,62.23
28.12.2020 00:19:00.000,1.28545,1.28549,1.28513,1.28536,125.04
28.12.2020 00:20:00.000,1.28537,1.28537,1.28526,1.28528,58.8
28.12.2020 00:21:00.000,1.28524,1.28528,1.28511,1.28511,46.35
28.12.2020 00:22:00.000,1.28511,1.28518,1.28509,1.28514,31.51
28.12.2020 00:23:00.000,1.28514,1.28520,1.28504,1.28504,33.37
28.12.2020 00:24:00.000,1.28503,1.28513,1.28503,1.28504,33
28.12.2020 00:25:00.000,1.28504,1.28505,1.28479,1.28480,46
28.12.2020 00:26:00.000,1.28480,1.28483,1.28451,1.28465,69.25
28.12.2020 00:27:00.000,1.28468,1.28488,1.28468,1.28473,26.8
28.12.2020 00:28:00.000,1.28471,1.28472,1.28455,1.28461,56.5
28.12.2020 00:29:00.000,1.28462,1.28472,1.28438,1.28447,52.25
28.12.2020 00:30:00.000,1.28447,1.28447,1.28422,1.28439,80.79
28.12.2020 00:31:00.000,1.28440,1.28444,1.28426,1.28429,56.3
28.12.2020 00:32:00.000,1.28430,1.28457,1.28430,1.28456,29.36
28.12.2020 00:33:00.000,1.28460,1.28487,1.28460,1.28486,72
28.12.2020 00:34:00.000,1.28485,1.28487,1.28472,1.28473,43.25
28.12.2020 00:35:00.000,1.28472,1.28475,1.28462,1.28465,33.39
28.12.2020 00:36:00.000,1.28465,1.28465,1.28461,1.28463,16
28.12.2020 00:37:00.000,1.28462,1.28489,1.28461,1.28489,28.82
28.12.2020 00:38:00.000,1.28490,1.28496,1.28488,1.28494,44.7
28.12.2020 00:39:00.000,1.28493,1.28495,1.28482,1.28494,35.19
28.12.2020 00:40:00.000,1.28494,1.28496,1.28473,1.28488,43.83
28.12.2020 00:41:00.000,1.28490,1.28500,1.28483,1.28488,31.53
28.12.2020 00:42:00.000,1.28488,1.28499,1.28475,1.28499,44.84
28.12.2020 00:43:00.000,1.28495,1.28503,1.28487,1.28496,73.82
28.12.2020 00:44:00.000,1.28494,1.28498,1.28488,1.28498,43.07
28.12.2020 00:45:00.000,1.28496,1.28508,1.28481,1.28508,58.2
28.12.2020 00:46:00.000,1.28509,1.28510,1.28497,1.28510,31.75
28.12.2020 00:47:00.000,1.28510,1.28510,1.28503,1.28509,23.45
28.12.2020 00:48:00.000,1.28507,1.28523,1.28504,1.28521,17.5
28.12.2020 00:49:00.000,1.28521,1.28541,1.28518,1.28539,70.5
28.12.2020 00:50:00.000,1.28538,1.28567,1.28533,1.28565,103
